instance,flow_solver,lambda_net,lambda_flow,weight_normalizer,w_net,w_flow,config,w_hetero,w_conc,flow_optimum,flow_cost,n_arcs,total_trips,n_single_trip_arcs,s1_time,s2_time,s1_first_cost,s1_first_time,s1_best_cost,s1_best_time,s1_n_improve,s2_optimal,mono_count,concentrated_count,r_tr,r_alpha_single_0.2,r_alpha_single_0.4,r_alpha_single_0.6,r_alpha_single_0.8,r_alpha_global_0.2,r_alpha_global_0.4,r_alpha_global_0.6,r_alpha_global_0.8,cov_mean,cov_median,cov_cvar10,cov_frac_zero,cov_dw_mean,cov_mean_addr,cov_cvar10_addr,nri,nri_worst,nri_addr,nri_alpha_single_0.2,nri_alpha_single_0.4,nri_alpha_single_0.6,nri_alpha_single_0.8,nri_alpha_global_0.2,nri_alpha_global_0.4,nri_alpha_global_0.6,nri_alpha_global_0.8,cvar_alpha_single_0.2,cvar_alpha_single_0.4,cvar_alpha_single_0.6,cvar_alpha_single_0.8,cvar_alpha_global_0.2,cvar_alpha_global_0.4,cvar_alpha_global_0.6,cvar_alpha_global_0.8,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_trajectory
layered_small_seed1,milp,0.0,0.0,108.16,0,0,full_w8_8,8,8,True,4002,6,37,1,0.046,30.009,4002,0.046,4002,0.046,0,False,1,18,0.4667,0.5,0.5667,0.6,0.6667,0.0667,0.1333,0.2333,0.3333,0.9394,0.9667,0.8428,0.0,0.9394,0.9391,0.8428,0.9394,0.9,0.9391,0.6972,0.7389,0.7972,0.8639,0.0667,0.1833,0.3167,0.5333,0.5,0.5667,0.6334,0.8,0.0667,0.1333,0.2333,0.3333,4002,3650,352,[]
layered_small_seed2,milp,0.0,0.0,77.59,0,0,baseline,0,0,True,1707,5,22,3,0.017,0.119,1707,0.017,1707,0.017,0,True,2,22,0.3667,0.4,0.4333,0.5,0.6,0.0667,0.1333,0.2667,0.4,0.9382,0.9333,0.85,0.0,0.9382,0.9357,0.8333,0.9382,0.8834,0.9357,0.8133,0.8367,0.8833,0.91,0.1167,0.2333,0.4667,0.6,0.5166,0.5833,0.7166,0.8,0.0667,0.1333,0.2667,0.4,1707,1391,316,[]
layered_small_seed2,milp,0.0,0.0,77.59,0,0,hetero_w8,8,0,True,1707,5,22,3,0.017,0.097,1707,0.017,1707,0.017,0,True,0,21,0.3667,0.4,0.4667,0.5333,0.6667,0.0667,0.1667,0.3,0.4667,0.9382,0.9333,0.8583,0.0,0.9382,0.9357,0.8444,0.9382,0.9,0.9357,0.8133,0.8367,0.8833,0.91,0.1167,0.2334,0.4666,0.6,0.5166,0.5833,0.7166,0.8,0.0667,0.1667,0.3,0.4667,1707,1391,316,[]
layered_small_seed2,milp,0.0,0.0,77.59,0,0,conc_w8,0,8,True,1707,5,22,3,0.017,30.006,1707,0.017,1707,0.017,0,False,7,11,0.3667,0.4333,0.5667,0.7,0.8,0.0667,0.2,0.3333,0.4667,0.9523,0.9667,0.8867,0.0,0.9523,0.9526,0.8833,0.9523,0.9,0.9526,0.8067,0.8333,0.8667,0.91,0.0833,0.2166,0.3833,0.6,0.5,0.6,0.7,0.8334,0.0667,0.2,0.3333,0.4667,1707,1707,0,[]
layered_small_seed2,milp,0.0,0.0,77.59,0,0,full_w8_8,8,8,True,1707,5,22,3,0.017,30.009,1707,0.017,1707,0.017,0,False,0,18,0.3667,0.4333,0.5667,0.7,0.7667,0.1,0.2333,0.4333,0.5667,0.9447,0.9333,0.8833,0.0,0.9447,0.9437,0.8917,0.9447,0.9,0.9438,0.81,0.84,0.88,0.9167,0.1,0.25,0.45,0.6334,0.5,0.6,0.7,0.8334,0.1,0.2333,0.4333,0.5667,1707,1539,168,[]
layered_small_seed3,milp,0.0,0.0,122.47,0,0,baseline,0,0,True,5756,5,47,0,0.054,30.006,5756,0.054,5756,0.054,0,False,20,43,0.1667,0.3333,0.5,0.5667,0.7,0.0667,0.2,0.4333,0.6667,0.9554,0.9667,0.8875,0.0,0.9554,0.9554,0.8875,0.9554,0.9334,0.9554,0.69,0.7467,0.83,0.9067,0.1,0.2166,0.5,0.7333,0.5,0.6,0.7333,0.85,0.0667,0.2,0.4333,0.6667,5756,5176,580,[]
layered_small_seed3,milp,0.0,0.0,122.47,0,0,hetero_w8,8,0,True,5756,5,47,0,0.054,30.01,5756,0.054,5756,0.054,0,False,11,46,0.1667,0.2333,0.3667,0.4667,0.7667,0.1,0.1667,0.3667,0.7,0.9531,0.9667,0.8875,0.0,0.9531,0.9531,0.8875,0.9531,0.9334,0.9531,0.6767,0.74,0.8233,0.9067,0.1,0.25,0.4667,0.7334,0.4667,0.6,0.7,0.85,0.1,0.1667,0.3667,0.7,5756,4632,1124,[]
layered_small_seed3,milp,0.0,0.0,122.47,0,0,conc_w8,0,8,True,5756,5,47,0,0.054,30.01,5756,0.054,5756,0.054,0,False,31,28,0.1667,0.2667,0.3667,0.5667,0.7,0.0,0.1,0.4,0.6,0.9595,0.9667,0.8889,0.0,0.9595,0.9595,0.8889,0.9595,0.9334,0.9595,0.67,0.7167,0.8067,0.8967,0.05,0.15,0.45,0.6666,0.45,0.5,0.65,0.8,0.0,0.1,0.4,0.6,5756,5448,308,[]
layered_small_seed3,milp,0.0,0.0,122.47,0,0,full_w8_8,8,8,True,5756,5,47,0,0.054,30.01,5756,0.054,5756,0.054,0,False,18,33,0.1667,0.2333,0.3,0.5,0.7,0.0667,0.1333,0.3333,0.6,0.9531,0.9667,0.8875,0.0,0.9531,0.9531,0.8875,0.9531,0.9334,0.9531,0.6867,0.7467,0.8367,0.9067,0.0833,0.25,0.45,0.6666,0.5,0.6,0.75,0.85,0.0667,0.1333,0.3333,0.6,5756,4768,988,[]
layered_small_seed4,milp,0.0,0.0,108.11,0,0,baseline,0,0,True,3784,8,35,3,0.142,4.653,3784,0.142,3784,0.142,0,True,9,32,0.4333,0.5,0.6,0.6667,0.8333,0.0667,0.2,0.2667,0.5667,0.9414,0.9333,0.8778,0.0,0.9414,0.9403,0.8733,0.9414,0.9167,0.9403,0.8271,0.8625,0.8979,0.9375,0.0833,0.25,0.3833,0.6167,0.7,0.7667,0.8334,0.9166,0.0667,0.2,0.2667,0.5667,3784,2904,880,[]
layered_small_seed4,milp,0.0,0.0,108.11,0,0,hetero_w8,8,0,True,3784,8,35,3,0.142,30.009,3784,0.142,3784,0.142,0,False,4,40,0.4333,0.4667,0.5667,0.6667,0.8,0.0667,0.2333,0.4,0.5667,0.9434,0.9333,0.8945,0.0,0.9434,0.9427,0.8933,0.9434,0.9333,0.9427,0.825,0.8604,0.8958,0.9312,0.0833,0.25,0.4166,0.5833,0.6667,0.7333,0.8,0.8666,0.0667,0.2333,0.4,0.5667,3784,2984,800,[]
layered_small_seed4,milp,0.0,0.0,108.11,0,0,conc_w8,0,8,True,3784,8,35,3,0.142,30.009,3784,0.142,3784,0.142,0,False,22,20,0.4333,0.5,0.5667,0.6333,0.7667,0.0333,0.1667,0.2333,0.3667,0.9489,0.9667,0.8571,0.0,0.9489,0.9488,0.85,0.9489,0.9167,0.9488,0.8208,0.8479,0.8854,0.9188,0.0666,0.1667,0.3333,0.5,0.6667,0.7,0.7833,0.85,0.0333,0.1667,0.2333,0.3667,3784,3464,320,[]
layered_small_seed4,milp,0.0,0.0,108.11,0,0,full_w8_8,8,8,True,3784,8,35,3,0.142,30.01,3784,0.142,3784,0.142,0,False,7,25,0.4333,0.5333,0.6,0.6667,0.8333,0.0667,0.2333,0.3333,0.5667,0.9472,0.9667,0.8778,0.0,0.9472,0.9469,0.8778,0.9472,0.9167,0.9469,0.825,0.8542,0.8917,0.9271,0.1,0.25,0.4,0.6,0.7,0.75,0.8333,0.8834,0.0667,0.2333,0.3333,0.5667,3784,3384,400,[]
layered_small_seed5,milp,0.0,0.0,185.65,0,0,baseline,0,0,True,4270,6,23,0,0.228,0.024,4270,0.228,4270,0.228,0,True,11,19,0.3,0.3,0.5,0.5,0.7333,0.0,0.2,0.2,0.4333,0.9108,0.9166,0.7584,0.0,0.9108,0.9108,0.7584,0.9108,0.8666,0.9108,0.7472,0.8056,0.8389,0.9,0.0,0.2166,0.35,0.6,0.6334,0.75,0.75,0.8666,0.0,0.2,0.2,0.4333,4270,3185,1085,[]
layered_small_seed5,milp,0.0,0.0,185.65,0,0,hetero_w8,8,0,True,4270,6,23,0,0.228,1.545,4270,0.228,4270,0.228,0,True,5,21,0.3,0.3,0.4667,0.4667,0.7,0.0,0.2,0.2667,0.5333,0.9158,0.95,0.7333,0.0,0.9157,0.9158,0.7333,0.9158,0.85,0.9158,0.7556,0.8028,0.8361,0.9028,0.05,0.2334,0.3667,0.6333,0.6334,0.7167,0.7167,0.85,0.0,0.2,0.2667,0.5333,4270,3360,910,[]
layered_small_seed5,milp,0.0,0.0,185.65,0,0,conc_w8,0,8,True,4270,6,23,0,0.228,30.006,4270,0.228,4270,0.228,0,False,12,12,0.3,0.3,0.4333,0.5667,0.7,0.0,0.1333,0.2667,0.4,0.9278,0.9333,0.8,0.0,0.9278,0.9278,0.8,0.9278,0.85,0.9278,0.7528,0.7861,0.85,0.9,0.0334,0.15,0.35,0.55,0.6334,0.7,0.7667,0.85,0.0,0.1333,0.2667,0.4,4270,3955,315,[]
layered_small_seed5,milp,0.0,0.0,185.65,0,0,full_w8_8,8,8,True,4270,6,23,0,0.228,30.009,4270,0.228,4270,0.228,0,False,7,15,0.3,0.3,0.4667,0.4667,0.7,0.0,0.1667,0.2,0.4333,0.9157,0.9333,0.7333,0.0,0.9157,0.9157,0.7333,0.9157,0.85,0.9157,0.7472,0.7917,0.8306,0.8972,0.0,0.1667,0.3167,0.5833,0.6334,0.7167,0.7167,0.85,0.0,0.1667,0.2,0.4333,4270,3395,875,[]
