instance,config,strategy,r_alpha_0.2,nri_alpha_0.2,cvar_alpha_0.2,r_alpha_0.4,nri_alpha_0.4,cvar_alpha_0.4,r_alpha_0.6,nri_alpha_0.6,cvar_alpha_0.6,r_alpha_0.8,nri_alpha_0.8,cvar_alpha_0.8
layered_small_seed4,hetero_w8,first,0.5333,0.8292,0.7,0.6333,0.8646,0.7666,0.7667,0.9021,0.8334,0.8667,0.9396,0.9
layered_small_seed4,hetero_w8,last,0.4667,0.8292,0.6667,0.5667,0.8646,0.7333,0.6667,0.9042,0.8,0.8,0.9396,0.8666
layered_small_seed4,conc_w8,heaviest,0.5,0.8208,0.6667,0.5667,0.8479,0.7,0.6333,0.8854,0.7833,0.7667,0.9188,0.85
layered_small_seed4,conc_w8,first,0.5,0.8229,0.6667,0.5667,0.8563,0.7,0.7,0.9042,0.8,0.8333,0.9354,0.8666
layered_small_seed4,conc_w8,last,0.6,0.8313,0.7166,0.6,0.8604,0.7666,0.7667,0.9021,0.85,0.8667,0.9438,0.9333
layered_small_seed4,full_w8_8,heaviest,0.5333,0.825,0.7,0.6,0.8542,0.75,0.6667,0.8917,0.8333,0.8333,0.9271,0.8834
layered_small_seed4,full_w8_8,first,0.5,0.8292,0.7,0.5667,0.8583,0.7667,0.7333,0.8958,0.8333,0.8333,0.9292,0.8834
layered_small_seed4,full_w8_8,last,0.6,0.8333,0.7166,0.7,0.8688,0.7834,0.8333,0.9104,0.8667,0.9,0.9396,0.9166
layered_small_seed5,baseline,heaviest,0.3,0.7472,0.6334,0.5,0.8056,0.75,0.5,0.8389,0.75,0.7333,0.9,0.8666
layered_small_seed5,baseline,first,0.3,0.7472,0.6334,0.5333,0.8056,0.75,0.5333,0.8417,0.75,0.7667,0.9056,0.8667
layered_small_seed5,baseline,last,0.3,0.7472,0.6334,0.5,0.8167,0.75,0.5,0.8528,0.75,0.7667,0.9167,0.8834
layered_small_seed5,hetero_w8,heaviest,0.3,0.7556,0.6334,0.4667,0.8028,0.7167,0.4667,0.8361,0.7167,0.7,0.9028,0.85
layered_small_seed5,hetero_w8,first,0.3,0.7583,0.6334,0.5333,0.825,0.7667,0.5333,0.8584,0.7667,0.7,0.9111,0.85
layered_small_seed5,hetero_w8,last,0.3,0.7583,0.6334,0.4667,0.8195,0.7333,0.4667,0.8528,0.7333,0.7333,0.9084,0.8666
layered_small_seed5,conc_w8,heaviest,0.3,0.7528,0.6334,0.4333,0.7861,0.7,0.5667,0.85,0.7667,0.7,0.9,0.85
layered_small_seed5,conc_w8,first,0.3,0.7583,0.6334,0.5,0.825,0.75,0.6667,0.8833,0.8334,0.8333,0.9167,0.9
layered_small_seed5,conc_w8,last,0.3,0.7639,0.6334,0.4333,0.8083,0.7166,0.5667,0.8694,0.7834,0.7,0.9111,0.85
layered_small_seed5,full_w8_8,heaviest,0.3,0.7472,0.6334,0.4667,0.7917,0.7167,0.4667,0.8306,0.7167,0.7,0.8972,0.85
layered_small_seed5,full_w8_8,first,0.3,0.7472,0.6334,0.5333,0.8083,0.7667,0.5333,0.8583,0.7667,0.8333,0.9278,0.9
layered_small_seed5,full_w8_8,last,0.3,0.7472,0.6334,0.4667,0.7917,0.7167,0.4667,0.8417,0.7167,0.7333,0.9167,0.8666
