instance,flow_solver,lambda_net,lambda_flow,weight_normalizer,w_net,w_flow,config,w_hetero,w_conc,flow_optimum,flow_cost,n_arcs,total_trips,n_single_trip_arcs,s1_time,s2_time,s1_first_cost,s1_first_time,s1_best_cost,s1_best_time,s1_n_improve,s2_optimal,mono_count,concentrated_count,r_tr,r_alpha_single_0.2,r_alpha_single_0.4,r_alpha_single_0.6,r_alpha_single_0.8,r_alpha_global_0.2,r_alpha_global_0.4,r_alpha_global_0.6,r_alpha_global_0.8,cov_mean,cov_median,cov_cvar10,cov_frac_zero,cov_dw_mean,cov_mean_addr,cov_cvar10_addr,nri,nri_worst,nri_addr,nri_alpha_single_0.2,nri_alpha_single_0.4,nri_alpha_single_0.6,nri_alpha_single_0.8,nri_alpha_global_0.2,nri_alpha_global_0.4,nri_alpha_global_0.6,nri_alpha_global_0.8,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_trajectory
layered_small_seed1,milp,16.0,0.0,108.16,1731,0,hetero_w16,16,0,True,5072,9,35,1,0.203,2.477,5072,0.203,5072,0.203,0,True,1,33,0.6667,0.6667,0.7333,0.7667,0.8333,0.0,0.1667,0.2333,0.4,0.9284,0.9333,0.8556,0.0,0.9284,0.9282,0.8611,0.9284,0.9,0.9282,0.7907,0.8333,0.8704,0.9204,0.0,0.1833,0.35,0.5834,5072,4038,1034,[]
layered_small_seed1,milp,16.0,0.0,108.16,1731,0,conc_w16,0,16,True,5072,9,35,1,0.203,60.009,5072,0.203,5072,0.203,0,False,4,20,0.6667,0.6667,0.7,0.7667,0.8,0.0333,0.1333,0.2,0.3333,0.9356,0.9667,0.8389,0.0,0.9356,0.9356,0.8389,0.9356,0.9,0.9356,0.7926,0.8315,0.8648,0.9185,0.0333,0.15,0.3167,0.5666,5072,4614,458,[]
layered_small_seed1,milp,16.0,0.0,108.16,1731,0,full_w16_16,16,16,True,5072,9,35,1,0.203,60.01,5072,0.203,5072,0.203,0,False,1,20,0.6667,0.6667,0.7,0.8,0.8333,0.0,0.1,0.3,0.4,0.9356,0.95,0.8611,0.0,0.9356,0.9356,0.8611,0.9356,0.9,0.9356,0.7889,0.8241,0.8722,0.9185,0.0,0.1166,0.3667,0.5666,5072,4624,448,[]
layered_small_seed1,milp,16.0,8.0,108.16,1731,865,baseline,0,0,True,5094,9,34,0,0.152,0.127,5094,0.152,5094,0.152,0,True,3,26,0.6667,0.6667,0.7,0.7333,0.8333,0.0,0.0667,0.2,0.3333,0.9309,0.95,0.85,0.0,0.9309,0.9309,0.85,0.9309,0.9,0.9309,0.7926,0.8296,0.8685,0.9185,0.0,0.0833,0.2834,0.4833,5094,4284,810,[]
layered_small_seed1,milp,16.0,8.0,108.16,1731,865,hetero_w16,16,0,True,5094,9,34,0,0.152,0.56,5094,0.152,5094,0.152,0,True,1,30,0.6667,0.6667,0.7,0.8,0.8333,0.0,0.1,0.3,0.5,0.9309,0.9333,0.8611,0.0,0.9309,0.9309,0.8611,0.9309,0.9,0.9309,0.7926,0.8352,0.8741,0.9241,0.0,0.15,0.3166,0.5167,5094,4284,810,[]
layered_small_seed1,milp,16.0,8.0,108.16,1731,865,conc_w16,0,16,True,5094,9,34,0,0.152,60.009,5094,0.152,5094,0.152,0,False,7,17,0.6667,0.6667,0.6667,0.7667,0.8,0.0,0.0,0.2667,0.4333,0.9398,0.9667,0.8476,0.0,0.9398,0.9398,0.8476,0.9398,0.9,0.9398,0.7981,0.8222,0.8722,0.9204,0.0167,0.0833,0.3334,0.55,5094,4934,160,[]
layered_small_seed1,milp,16.0,8.0,108.16,1731,865,full_w16_16,16,16,True,5094,9,34,0,0.152,60.009,5094,0.152,5094,0.152,0,False,2,20,0.6667,0.6667,0.7,0.8,0.8333,0.0,0.1,0.3333,0.4333,0.9357,0.9667,0.8611,0.0,0.9356,0.9357,0.8611,0.9356,0.9,0.9356,0.7926,0.8278,0.8778,0.9241,0.0,0.1,0.35,0.4833,5094,4828,266,[]
layered_small_seed1,milp,16.0,16.0,108.16,1731,1731,baseline,0,0,True,5094,9,34,0,0.141,0.126,5094,0.141,5094,0.141,0,True,3,26,0.6667,0.6667,0.7,0.7333,0.8333,0.0,0.0667,0.2,0.3333,0.9309,0.95,0.85,0.0,0.9309,0.9309,0.85,0.9309,0.9,0.9309,0.7926,0.8296,0.8685,0.9185,0.0,0.0833,0.2834,0.4833,5094,4284,810,[]
layered_small_seed1,milp,16.0,16.0,108.16,1731,1731,hetero_w16,16,0,True,5094,9,34,0,0.141,0.571,5094,0.141,5094,0.141,0,True,1,30,0.6667,0.6667,0.7,0.8,0.8333,0.0,0.1,0.3,0.5,0.9309,0.9333,0.8611,0.0,0.9309,0.9309,0.8611,0.9309,0.9,0.9309,0.7926,0.8352,0.8741,0.9241,0.0,0.15,0.3166,0.5167,5094,4284,810,[]
layered_small_seed1,milp,16.0,16.0,108.16,1731,1731,conc_w16,0,16,True,5094,9,34,0,0.141,60.009,5094,0.141,5094,0.141,0,False,7,17,0.6667,0.6667,0.6667,0.7667,0.8,0.0,0.0,0.2667,0.4333,0.9398,0.9667,0.8476,0.0,0.9398,0.9398,0.8476,0.9398,0.9,0.9398,0.7981,0.8222,0.8722,0.9204,0.0167,0.0833,0.3334,0.55,5094,4934,160,[]
layered_small_seed1,milp,16.0,16.0,108.16,1731,1731,full_w16_16,16,16,True,5094,9,34,0,0.141,60.009,5094,0.141,5094,0.141,0,False,2,20,0.6667,0.6667,0.7,0.8,0.8333,0.0,0.1,0.3333,0.4333,0.9357,0.9667,0.8611,0.0,0.9356,0.9357,0.8611,0.9356,0.9,0.9356,0.7926,0.8278,0.8778,0.9241,0.0,0.1,0.35,0.4833,5094,4828,266,[]
