size_label,instance_name,seed,weight,s2_config,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_part,mono_count,concentrated_count,exposure_count,nominal_cost,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_optimal,s1_time,s2_optimal,s2_time
small,layered_small_seed2,2,1000,off_off,0.6667,"(l1,l4,tr2)",0.8333,"(l4,l6,tr2,k3)",0.8333,p2,1.0,9.0,0.0,2601.0,2601.0,2247.0,354.0,False,60.038,True,0.114
small,layered_small_seed2,2,1000,hetero,0.6667,"(l1,l4,tr2)",0.9,"(l4,l6,tr2,k4)",0.9,p2,0.0,7.0,0.0,2601.0,2601.0,2247.0,354.0,False,60.038,True,0.108
small,layered_small_seed2,2,1000,conc,0.6667,"(l1,l4,tr2)",0.8667,"(l4,l6,tr2,k4)",0.8667,p2,10.0,14.0,0.0,2601.0,2601.0,2545.0,56.0,False,60.038,False,60.008
small,layered_small_seed2,2,1000,both,0.6667,"(l1,l4,tr2)",0.8333,"(l2,l5,tr2,k1)",0.8333,p2,13.0,13.0,0.0,2601.0,2601.0,2601.0,0.0,False,60.038,False,60.01
small,layered_small_seed3,3,0,off_off,0.1667,"(l4,l5,tr2)",0.8667,"(l1,l4,tr1,k1)",0.8667,p1,29.0,2.0,6.0,5756.0,5756.0,4564.0,1192.0,True,36.3,False,60.016
small,layered_small_seed3,3,0,hetero,0.1667,"(l4,l5,tr2)",0.8667,"(l1,l4,tr1,k4)",0.8667,p1,4.0,0.0,6.0,5756.0,5756.0,4564.0,1192.0,True,36.3,False,60.011
small,layered_small_seed3,3,0,conc,0.1667,"(l4,l5,tr2)",0.8667,"(l1,l4,tr1,k3)",0.8667,p1,28.0,2.0,6.0,5756.0,5756.0,5448.0,308.0,True,36.3,False,60.019
small,layered_small_seed3,3,0,both,0.1667,"(l4,l5,tr2)",0.8667,"(l1,l4,tr1,k5)",0.8667,p1,27.0,2.0,6.0,5756.0,5756.0,5312.0,444.0,True,36.3,False,60.015
small,layered_small_seed3,3,300,off_off,0.1667,"(l4,l5,tr2)",0.8667,"(l3,l6,tr1,k2)",0.8667,p2,12.0,11.0,1.0,6980.0,6680.0,5248.0,1432.0,False,60.016,False,60.019
small,layered_small_seed3,3,300,hetero,0.1667,"(l4,l5,tr2)",0.8667,"(l3,l6,tr1,k1)",0.8667,p2,3.0,10.0,1.0,6980.0,6680.0,5248.0,1432.0,False,60.016,False,60.019
small,layered_small_seed3,3,300,conc,0.1667,"(l4,l5,tr2)",0.8667,"(l3,l6,tr1,k1)",0.8667,p2,23.0,10.0,1.0,6980.0,6680.0,6440.0,240.0,False,60.016,False,60.012
small,layered_small_seed3,3,300,both,0.1667,"(l4,l5,tr2)",0.8667,"(l2,l3,tr1,k5)",0.8667,p2,25.0,10.0,1.0,6980.0,6680.0,6328.0,352.0,False,60.016,False,60.01
small,layered_small_seed3,3,500,off_off,0.6667,"(l2,l3,tr1)",0.8667,"(l3,l5,tr1,k1)",0.8667,p1,14.0,8.0,0.0,7420.0,7420.0,5744.0,1676.0,False,98.039,False,61.549
small,layered_small_seed3,3,500,hetero,0.6667,"(l2,l3,tr1)",0.8667,"(l3,l5,tr1,k2)",0.8667,p1,5.0,5.0,0.0,7420.0,7420.0,5744.0,1676.0,False,98.039,False,64.549
small,layered_small_seed3,3,500,conc,0.6667,"(l2,l3,tr1)",0.8667,"(l3,l6,tr1,k1)",0.8667,p2,15.0,7.0,0.0,7420.0,7420.0,6392.0,1028.0,False,98.039,False,61.579
small,layered_small_seed3,3,500,both,0.6667,"(l2,l3,tr1)",0.8667,"(l3,l6,tr1,k4)",0.8667,p2,17.0,7.0,0.0,7420.0,7420.0,6572.0,848.0,False,98.039,False,61.952
small,layered_small_seed3,3,750,off_off,0.6667,"(l2,l3,tr1)",0.8667,"(l3,l6,tr1,k3)",0.8667,p2,10.0,6.0,0.0,7216.0,7216.0,5744.0,1472.0,False,61.391,False,60.041
small,layered_small_seed3,3,750,hetero,0.6667,"(l2,l3,tr1)",0.8667,"(l3,l6,tr1,k4)",0.8667,p2,5.0,5.0,0.0,7216.0,7216.0,5744.0,1472.0,False,61.391,False,60.007
small,layered_small_seed3,3,750,conc,0.6667,"(l2,l3,tr1)",0.8667,"(l3,l6,tr1,k3)",0.8667,p2,13.0,7.0,0.0,7216.0,7216.0,6572.0,644.0,False,61.391,False,60.01
small,layered_small_seed3,3,750,both,0.6667,"(l2,l3,tr1)",0.8667,"(l3,l6,tr1,k3)",0.8667,p2,13.0,7.0,0.0,7216.0,7216.0,6572.0,644.0,False,61.391,False,60.009
small,layered_small_seed3,3,1000,off_off,0.6667,"(l1,l4,tr1)",0.8667,"(l4,l5,tr1,k2)",0.8667,p1,14.0,7.0,0.0,7284.0,7284.0,5424.0,1860.0,False,60.454,False,60.54
small,layered_small_seed3,3,1000,hetero,0.6667,"(l1,l4,tr1)",0.8667,"(l4,l5,tr1,k3)",0.8667,p1,1.0,5.0,0.0,7284.0,7284.0,5424.0,1860.0,False,60.454,False,60.807
small,layered_small_seed3,3,1000,conc,0.6667,"(l1,l4,tr1)",0.8667,"(l4,l5,tr1,k2)",0.8667,p1,16.0,7.0,0.0,7284.0,7284.0,6620.0,664.0,False,60.454,False,60.008
small,layered_small_seed3,3,1000,both,0.6667,"(l1,l4,tr1)",0.8667,"(l4,l5,tr1,k3)",0.8667,p1,13.0,7.0,0.0,7284.0,7284.0,6588.0,696.0,False,60.454,False,60.027
small,layered_small_seed4,4,0,off_off,0.5667,"(l1,l6,tr2)",0.8333,"(l1,l6,tr2,k2)",0.8333,p2,16.0,7.0,2.0,3784.0,3784.0,2984.0,800.0,False,60.263,True,0.704
small,layered_small_seed4,4,0,hetero,0.5667,"(l1,l6,tr2)",0.9,"(l1,l4,tr2,k2)",0.9,p2,2.0,6.0,2.0,3784.0,3784.0,2984.0,800.0,False,60.263,True,2.877
small,layered_small_seed4,4,0,conc,0.5667,"(l1,l6,tr2)",0.9,"(l1,l6,tr2,k9)",0.9,p2,8.0,7.0,2.0,3784.0,3784.0,3704.0,80.0,False,60.263,False,60.01
small,layered_small_seed4,4,0,both,0.5667,"(l1,l6,tr2)",0.8333,"(l4,l5,tr2,k6)",0.8333,p2,7.0,6.0,2.0,3784.0,3784.0,3784.0,0.0,False,60.263,False,60.134
small,layered_small_seed4,4,300,off_off,0.6667,"(l1,l6,tr2)",0.8,"(l1,l6,tr1,k1)",0.8,p2,19.0,11.0,0.0,3816.0,3816.0,2936.0,880.0,False,60.016,True,3.004
small,layered_small_seed4,4,300,hetero,0.6667,"(l1,l6,tr2)",0.8333,"(l1,l6,tr1,k1)",0.8333,p2,2.0,9.0,0.0,3816.0,3816.0,3016.0,800.0,False,60.016,True,8.73
small,layered_small_seed4,4,300,conc,0.6667,"(l1,l6,tr2)",0.8333,"(l2,l3,tr2,k6)",0.8333,p2,11.0,13.0,0.0,3816.0,3816.0,3456.0,360.0,False,60.016,False,60.022
small,layered_small_seed4,4,300,both,0.6667,"(l1,l6,tr2)",0.8333,"(l4,l5,tr2,k7)",0.8333,p2,18.0,16.0,0.0,3816.0,3816.0,3656.0,160.0,False,60.016,False,60.009
small,layered_small_seed4,4,500,off_off,0.6667,"(l2,l3,tr2)",0.8333,"(l2,l3,tr2,k2)",0.8333,p2,18.0,10.0,0.0,3816.0,3816.0,3016.0,800.0,False,60.065,True,1.913
small,layered_small_seed4,4,500,hetero,0.6667,"(l2,l3,tr2)",0.8333,"(l1,l6,tr1,k1)",0.8333,p2,2.0,4.0,0.0,3816.0,3816.0,3016.0,800.0,False,60.065,True,27.472
small,layered_small_seed4,4,500,conc,0.6667,"(l2,l3,tr2)",0.8667,"(l1,l6,tr1,k2)",0.8667,p2,10.0,6.0,0.0,3816.0,3816.0,3656.0,160.0,False,60.065,False,60.01
small,layered_small_seed4,4,500,both,0.6667,"(l2,l3,tr2)",0.8,"(l1,l6,tr1,k2)",0.8,p2,13.0,8.0,0.0,3816.0,3816.0,3456.0,360.0,False,60.065,False,60.01
small,layered_small_seed4,4,750,off_off,0.6667,"(l1,l6,tr2)",0.8333,"(l4,l5,tr2,k4)",0.8333,p2,13.0,9.0,0.0,3816.0,3816.0,3016.0,800.0,False,60.013,True,2.88
small,layered_small_seed4,4,750,hetero,0.6667,"(l1,l6,tr2)",0.9,"(l1,l4,tr2,k4)",0.9,p2,0.0,5.0,0.0,3816.0,3816.0,3016.0,800.0,False,60.013,True,6.412
small,layered_small_seed4,4,750,conc,0.6667,"(l1,l6,tr2)",0.8333,"(l4,l5,tr2,k2)",0.8333,p2,12.0,12.0,0.0,3816.0,3816.0,3736.0,80.0,False,60.013,False,60.008
small,layered_small_seed4,4,750,both,0.6667,"(l1,l6,tr2)",0.8333,"(l4,l5,tr2,k1)",0.8333,p2,7.0,11.0,0.0,3816.0,3816.0,3576.0,240.0,False,60.013,False,60.01
small,layered_small_seed4,4,1000,off_off,0.6667,"(l1,l6,tr2)",0.8,"(l1,l6,tr1,k1)",0.8,p2,22.0,14.0,0.0,3816.0,3816.0,2936.0,880.0,False,60.013,True,6.402
small,layered_small_seed4,4,1000,hetero,0.6667,"(l1,l6,tr2)",0.8333,"(l1,l6,tr1,k1)",0.8333,p2,0.0,10.0,0.0,3816.0,3816.0,3016.0,800.0,False,60.013,True,2.306
small,layered_small_seed4,4,1000,conc,0.6667,"(l1,l6,tr2)",0.8333,"(l2,l3,tr2,k4)",0.8333,p2,7.0,15.0,0.0,3816.0,3816.0,3576.0,240.0,False,60.013,False,60.014
small,layered_small_seed4,4,1000,both,0.6667,"(l1,l6,tr2)",0.8333,"(l2,l3,tr2,k5)",0.8333,p2,10.0,15.0,0.0,3816.0,3816.0,3576.0,240.0,False,60.013,False,60.008
small,layered_small_seed5,5,0,off_off,0.2667,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k5)",0.7,p2,7.0,7.0,3.0,4410.0,4410.0,3255.0,1155.0,False,60.012,True,0.09
small,layered_small_seed5,5,0,hetero,0.2667,"(l2,l4,tr2)",0.7667,"(l4,l5,tr1,k5)",0.7667,p2,4.0,6.0,3.0,4410.0,4410.0,3255.0,1155.0,False,60.012,True,1.228
small,layered_small_seed5,5,0,conc,0.2667,"(l2,l4,tr2)",0.7333,"(l2,l4,tr2,k6)",0.7333,p2,12.0,5.0,3.0,4410.0,4410.0,4410.0,0.0,False,60.012,False,60.012
small,layered_small_seed5,5,0,both,0.2667,"(l2,l4,tr2)",0.7333,"(l2,l4,tr2,k4)",0.7333,p2,11.0,5.0,3.0,4410.0,4410.0,4235.0,175.0,False,60.012,False,60.015
small,layered_small_seed5,5,300,off_off,0.2333,"(l2,l4,tr2)",0.7,"(l4,l5,tr1,k3)",0.7,p2,6.0,8.0,3.0,5170.0,4270.0,3185.0,1085.0,False,60.029,True,0.076
