size_label,weight,s2_config,s1_dispatch,s2_dispatch,r_tr,r_1,n,saving_pct,cost_delta_pct
medium,500,conc,13130.0,11253.0,0.607,0.76,5,14.3,7.4
medium,500,both,13130.0,11238.0,0.607,0.773,5,14.4,7.2
medium,750,off_off,11779.0,10062.0,0.593,0.773,5,14.6,0.0
medium,750,hetero,11779.0,10062.0,0.593,0.787,5,14.6,0.0
medium,750,conc,11779.0,10722.0,0.593,0.787,5,9.0,6.6
medium,750,both,11779.0,10840.0,0.593,0.807,5,8.0,7.7
medium,1000,off_off,12525.0,10745.0,0.593,0.747,5,14.2,0.0
medium,1000,hetero,12525.0,10745.0,0.593,0.76,5,14.2,0.0
medium,1000,conc,12525.0,11653.0,0.593,0.773,5,7.0,8.5
medium,1000,both,12525.0,11648.0,0.593,0.76,5,7.0,8.4
large,0,off_off,15801.0,12319.0,0.573,0.833,5,22.0,0.0
large,0,hetero,15801.0,12421.0,0.573,0.853,5,21.4,0.8
large,0,conc,15801.0,13698.0,0.573,0.847,5,13.3,11.2
large,0,both,15801.0,13717.0,0.573,0.847,5,13.2,11.3
large,300,off_off,18391.0,15581.0,0.567,0.807,5,15.3,0.0
large,300,hetero,18391.0,15519.0,0.567,0.827,5,15.6,-0.4
large,300,conc,18391.0,16815.0,0.567,0.8,5,8.6,7.9
large,300,both,18391.0,16649.0,0.567,0.807,5,9.5,6.9
xlarge,0,off_off,17119.0,13825.0,0.647,0.773,5,19.2,0.0
xlarge,0,hetero,17119.0,13825.0,0.647,0.78,5,19.2,0.0
xlarge,0,conc,17119.0,15994.0,0.647,0.793,5,6.6,15.7
xlarge,0,both,17119.0,16046.0,0.647,0.807,5,6.3,16.1
xlarge,1000,off_off,18626.0,15264.0,0.633,0.773,5,18.0,0.0
xlarge,1000,hetero,18626.0,15264.0,0.633,0.78,5,18.0,0.0
xlarge,1000,conc,18626.0,17011.0,0.633,0.753,5,8.7,11.4
xlarge,1000,both,18626.0,17082.0,0.633,0.767,5,8.3,11.9
industrylite,0,off_off,69782.0,53500.0,0.7,0.827,5,23.3,0.0
industrylite,0,hetero,69782.0,53738.0,0.7,0.82,5,23.0,0.4
industrylite,0,conc,69782.0,65005.0,0.7,0.84,5,6.8,21.5
industrylite,0,both,69782.0,65651.0,0.7,0.827,5,5.9,22.7
industrylite,1000,off_off,74006.0,56417.0,0.6,0.807,5,23.8,0.0
industrylite,1000,hetero,74006.0,56587.0,0.6,0.84,5,23.5,0.3
industrylite,1000,conc,74006.0,65699.0,0.6,0.807,5,11.2,16.5
industrylite,1000,both,74006.0,66826.0,0.6,0.8,5,9.7,18.4
industry,0,off_off,151211810.0,34692162.0,0.0,0.0,1,77.1,0.0
industry,0,hetero,151211810.0,36119670.0,0.0,0.0,1,76.1,4.1
industry,0,conc,151211810.0,34692162.0,0.0,0.0,1,77.1,0.0
industry,0,both,151211810.0,36119670.0,0.0,0.0,1,76.1,4.1
industry,10000000,off_off,152003080.0,35959949.0,0.0,0.0,1,76.3,0.0
industry,10000000,hetero,152003080.0,39649477.0,0.0,0.0,1,73.9,10.3
industry,10000000,conc,152003080.0,35959949.0,0.0,0.0,1,76.3,0.0
industry,10000000,both,152003080.0,39649477.0,0.0,0.0,1,73.9,10.3
