solver,encoding_family,backend,instance,instance_size,seed,n_locations,n_parts,n_routes,n_transports,density,capacity_tightness,num_bins,time_limit,run,status,wall_time,total_time,ground_time,solve_time,cost,optimum,satisfiable,choices,conflicts,restarts,atoms,s1_time,s2_time,s1_atoms,s2_atoms,s1_cost,s2_cost,s1_optimum,s2_optimum
clingcon_oneshot,one-shot,clingcon,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,3,600,2,OK,20.686,20.678,0.053,20.625,4023,True,True,341207,166534,2426,14303,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,3,600,3,OK,20.3,20.294,0.051,20.243,4023,True,True,341207,166534,2426,14303,,,,,,,,
naive_twostage,two-stage,naive,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,,600,1,OK,600.09,600.077,0.069,600.009,2945,False,True,21110022,8573128,14333,9690,600.069,0.008,8898,792,2945,19,False,True
naive_twostage,two-stage,naive,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,,600,2,OK,600.101,600.082,0.075,600.008,2945,False,True,21074564,8549106,14333,9690,600.068,0.014,8898,792,2945,19,False,True
naive_twostage,two-stage,naive,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,,600,3,OK,600.102,600.086,0.07,600.016,2990,False,True,19552243,7932235,13321,10133,600.067,0.019,8898,1235,2990,22,False,True
clingcon_twostage,two-stage,clingcon,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,,600,1,OK,380.062,380.046,0.011,380.035,1866,True,True,30801281,14865862,24590,5171,380.026,0.02,4367,804,1866,16,True,True
clingcon_twostage,two-stage,clingcon,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,,600,2,OK,352.662,352.655,0.009,352.647,1866,True,True,30801281,14865862,24590,5171,352.636,0.019,4367,804,1866,16,True,True
clingcon_twostage,two-stage,clingcon,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,,600,3,OK,339.018,339.012,0.008,339.005,1866,True,True,30801281,14865862,24590,5171,338.993,0.019,4367,804,1866,16,True,True
naive_oneshot,one-shot,naive,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,3,600,1,OK,603.403,603.277,3.267,600.01,8296,False,True,3666887,667236,1532,3687731,,,,,,,,
naive_oneshot,one-shot,naive,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,3,600,2,OK,603.029,602.912,2.902,600.01,8296,False,True,3893702,739950,1691,3687731,,,,,,,,
naive_oneshot,one-shot,naive,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,3,600,3,OK,603.011,602.894,2.877,600.018,8296,False,True,3884937,737685,1681,3687731,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,3,600,1,OK,600.118,600.114,0.02,600.094,47024,False,True,7267881,4867237,38650,10536,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,3,600,2,OK,600.037,600.032,0.019,600.014,47024,False,True,7315564,4899306,38878,10536,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,3,600,3,OK,600.034,600.029,0.018,600.01,47024,False,True,7291972,4883262,38740,10536,,,,,,,,
naive_twostage,two-stage,naive,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,,600,1,OK,621.35,621.344,0.041,621.304,6544,False,True,43313653,17925694,31965,11546,600.041,21.303,9286,2260,6544,33,False,True
naive_twostage,two-stage,naive,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,,600,2,OK,621.409,621.403,0.039,621.364,6544,False,True,42885288,17756905,31480,11546,600.045,21.358,9286,2260,6544,33,False,True
naive_twostage,two-stage,naive,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,,600,3,OK,600.056,600.052,0.038,600.013,6680,False,True,39480016,15294764,25988,10717,600.038,0.014,9286,1431,6680,35,False,True
clingcon_twostage,two-stage,clingcon,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,,600,1,OK,600.053,600.046,0.009,600.037,6664,False,True,56289290,29636900,42040,6063,600.013,0.033,4579,1484,6664,29,False,True
clingcon_twostage,two-stage,clingcon,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,,600,2,OK,600.034,600.028,0.008,600.019,6648,False,True,59076672,31042215,45053,5918,600.018,0.01,4579,1339,6648,30,False,True
clingcon_twostage,two-stage,clingcon,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,,600,3,OK,600.037,600.03,0.008,600.022,6616,False,True,60579688,31839864,45826,5907,600.019,0.011,4579,1328,6616,33,False,True
